-1,239,-1,-1,-1,-1,-1,-1,-1,-1,329,330,331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,325,326,327,-1,-1,-1,-1,-1
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,361,362,363,-1,5,-1,-1,7,-1,329,330,331,-1,-1,357,358,359,-1,-1,-1,-1,329
-1,239,-1,-1,-1,-1,-1,5,-1,-1,393,394,395,-1,-1,-1,-1,-1,-1,361,362,363,-1,-1,389,390,391,-1,-1,-1,-1,361
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,425,426,427,-1,-1,-1,6,-1,-1,393,394,395,-1,-1,421,422,423,-1,-1,-1,-1,393
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,457,458,459,-1,-1,-1,-1,3,-1,425,426,427,-1,-1,453,454,455,-1,-1,-1,-1,425
-1,239,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,325,326,327,-1,-1,457,458,459,-1,-1,-1,-1,3,-1,-1,-1,-1,457
2,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,357,358,359,-1,-1,-1,-1,-1,4,-1,-1,6,-1,-1,-1,-1,-1,-1
-1,239,-1,-1,-1,4,-1,329,330,331,-1,3,-1,-1,389,390,391,-1,-1,-1,-1,-1,-1,329,330,331,-1,-1,-1,-1,-1,7
-1,239,-1,-1,-1,-1,-1,361,362,363,-1,-1,-1,-1,421,422,423,-1,-1,-1,-1,-1,-1,361,362,363,-1,-1,-1,-1,4,-1
-1,239,-1,-1,-1,-1,-1,393,394,395,-1,-1,6,-1,453,454,455,-1,-1,-1,-1,-1,-1,393,394,395,-1,-1,-1,-1,-1,-1
-1,239,-1,-1,-1,-1,-1,425,426,427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,425,426,427,-1,-1,-1,-1,-1,3
6,239,-1,-1,-1,-1,-1,457,458,459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,457,458,459,-1,-1,-1,-1,325,326
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,357,358
-1,239,-1,-1,-1,325,326,327,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,77,78,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,389,390
-1,239,-1,-1,-1,357,358,359,-1,2,5,-1,-1,-1,-1,-1,-1,108,109,110,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,421,422
-1,239,-1,-1,-1,389,390,391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,325,326,327,-1,-1,-1,-1,453,454
-1,239,-1,-1,-1,421,422,423,-1,-1,-1,-1,-1,-1,-1,-1,171,172,173,174,6,-1,-1,357,358,359,-1,-1,-1,-1,-1,-1
-1,239,-1,-1,-1,453,454,455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389,390,391,-1,-1,-1,-1,-1,5
-1,239,-1,-1,-1,-1,-1,2,-1,-1,-1,329,330,331,-1,-1,-1,3,-1,-1,-1,-1,-1,421,422,423,-1,-1,-1,-1,-1,-1
3,239,-1,-1,-1,-1,7,-1,-1,-1,-1,361,362,363,-1,-1,-1,-1,5,-1,-1,-1,-1,453,454,455,-1,-1,-1,-1,329,330
-1,239,-1,-1,-1,-1,-1,-1,6,-1,-1,393,394,395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,361,362
-1,239,-1,-1,-1,-1,325,326,327,-1,-1,425,426,427,-1,-1,-1,325,326,327,-1,-1,3,4,-1,329,330,331,-1,-1,393,394
-1,239,-1,-1,-1,-1,357,358,359,-1,-1,457,458,459,-1,-1,-1,357,358,359,-1,-1,-1,-1,-1,361,362,363,-1,-1,425,426
-1,239,-1,-1,-1,-1,389,390,391,-1,-1,-1,-1,239,239,239,-1,389,390,391,-1,-1,-1,-1,-1,393,394,395,-1,-1,457,458
-1,239,-1,-1,-1,-1,421,422,423,-1,-1,-1,-1,239,239,239,-1,421,422,423,-1,-1,-1,-1,-1,425,426,427,-1,-1,4,-1
-1,239,-1,-1,-1,-1,453,454,455,-1,4,2,-1,239,239,239,-1,453,454,455,-1,5,-1,-1,-1,457,458,459,-1,-1,-1,-1
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235,236,236,236,236,237
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,267,268,268,268,268,269
-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,299,300,300,300,300,301
-1,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2
-1,-1,2,-1,-1,-1,7,7,-1,-1,-1,-1,6,-1,-1,-1,-1,2,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
